Plurality given: 2
Sample: 0001-4    Model: 1, 0    Function: 1, 0
Sample: 0001-7    Model: 4, 0    Function: 4, 1 ------ DOES NOT MATCH
Sample: 0001-8    Model: 4, 0    Function: 4, 0
Sample: 0003-1    Model: 2, 1    Function: 2, 1
Sample: 0003-5    Model: 4, 1    Function: 4, 1
Sample: 0003-6    Model: 4, 0    Function: 4, 0
Sample: 0004-5    Model: 4, 1    Function: 4, 1
Sample: 0004-7    Model: 4, 0    Function: 4, 0
Sample: 0011-1    Model: 4, 0    Function: 4, 0
Sample: 0014-5    Model: 4, 1    Function: 4, 1
Sample: 0014-6    Model: 4, 1    Function: 4, 1
Sample: 0019-1    Model: 4, 1    Function: 4, 0 ------ DOES NOT MATCH
Sample: 0019-2    Model: 4, 1    Function: 4, 1
Sample: 0023-2    Model: 1, 0    Function: 1, 0
Sample: 0023-3    Model: 1, 0    Function: 1, 0
Sample: 0023-4    Model: 1, 0    Function: 1, 0
Sample: 0023-5    Model: 1, 0    Function: 1, 0
Sample: 0023-6    Model: 1, 0    Function: 1, 0
Sample: 0025-1    Model: 3, 0    Function: 3, 0
Sample: 0025-2    Model: 4, 0    Function: 4, 0
Sample: 0025-3    Model: 4, 0    Function: 4, 0
Sample: 0025-4    Model: 3, 1    Function: 3, 1
Sample: 0025-5    Model: 4, 0    Function: 4, 0
Sample: 0025-6    Model: 4, 0    Function: 4, 1 ------ DOES NOT MATCH
Sample: 0026-1    Model: 4, 1    Function: 4, 1
Sample: 0026-2    Model: 4, 1    Function: 4, 1
Sample: 0026-3    Model: 4, 1    Function: 4, 1
Sample: 0026-4    Model: 3, 0    Function: 3, 1 ------ DOES NOT MATCH
Sample: 0026-5    Model: 1, 1    Function: 1, 1
Sample: 0026-6    Model: 2, 1    Function: 2, 1
Sample: 0027-1    Model: 3, 0    Function: 3, 0
Sample: 0027-2    Model: 3, 0    Function: 3, 0
Sample: 0027-3    Model: 3, 0    Function: 3, 0
Sample: 0027-4    Model: 3, 0    Function: 3, 1 ------ DOES NOT MATCH
Sample: 0027-5    Model: 3, 0    Function: 3, 0
Sample: 0027-6    Model: 3, 0    Function: 3, 0
Sample: 0027-7    Model: 2, 0    Function: 2, 0
Sample: 0027-8    Model: 2, 1    Function: 2, 1
Sample: 0027-9    Model: 4, 1    Function: 4, 1
Sample: 0027-10    Model: 2, 1    Function: 4, 1 ------ DOES NOT MATCH
Sample: 0027-11    Model: 4, 1    Function: 2, 1 ------ DOES NOT MATCH
Sample: 0027-12    Model: 4, 0    Function: 4, 1 ------ DOES NOT MATCH
Sample: 0029-1    Model: 4, 0    Function: 4, 0
Sample: 0029-2    Model: 4, 0    Function: 4, 0
Sample: 0031-3    Model: 1, 0    Function: 1, 0
Sample: 0031-4    Model: 1, 0    Function: 1, 0
Sample: 0031-5    Model: 1, 0    Function: 1, 0
Sample: 0031-6    Model: 1, 0    Function: 1, 0
Sample: 0032-2    Model: 4, 1    Function: 4, 0 ------ DOES NOT MATCH
Sample: 0032-3    Model: 1, 0    Function: 1, 0
Sample: 0032-4    Model: 1, 0    Function: 1, 0
Sample: 0032-5    Model: 1, 0    Function: 1, 0
Sample: 0032-6    Model: 1, 0    Function: 1, 0
Sample: 0047-6    Model: 1, 0    Function: 1, 0
Sample: 0048-6    Model: 1, 0    Function: 1, 0
Sample: 0052-2    Model: 2, 0    Function: 2, 0
Sample: 0052-5    Model: 4, 1    Function: 4, 1
Sample: 0052-6    Model: 2, 1    Function: 2, 1
Sample: 0053-3    Model: 4, 1    Function: 4, 1
Sample: 0054-1    Model: 4, 1    Function: 4, 1
Sample: 0054-2    Model: 4, 1    Function: 4, 1
Sample: 0054-5    Model: 4, 0    Function: 4, 0
Sample: 0054-6    Model: 4, 0    Function: 4, 1 ------ DOES NOT MATCH
Sample: 0055-1    Model: 3, 0    Function: 3, 0
Sample: 0055-2    Model: 3, 0    Function: 3, 1 ------ DOES NOT MATCH
Sample: 0055-3    Model: 3, 0    Function: 3, 0
Sample: 0055-4    Model: 3, 0    Function: 3, 0
Sample: 0055-5    Model: 3, 0    Function: 3, 0
Sample: 0055-6    Model: 3, 0    Function: 3, 0
Sample: 0056-2    Model: 4, 1    Function: 4, 1
Sample: 0056-3    Model: 4, 0    Function: 4, 1 ------ DOES NOT MATCH
Sample: 0056-4    Model: 2, 1    Function: 2, 1
Sample: 0056-5    Model: 2, 1    Function: 2, 1
Sample: 0056-6    Model: 4, 1    Function: 4, 1
Sample: 0056-7    Model: 4, 1    Function: 4, 1
Sample: 0057-1    Model: 4, 1    Function: 4, 1
Sample: 0057-2    Model: 4, 0    Function: 4, 1 ------ DOES NOT MATCH
Sample: 0057-3    Model: 2, 1    Function: 2, 0 ------ DOES NOT MATCH
Sample: 0057-4    Model: 4, 1    Function: 2, 1 ------ DOES NOT MATCH
Sample: 0057-5    Model: 2, 0    Function: 2, 0
Sample: 0057-6    Model: 2, 0    Function: 2, 0
Sample: 0057-7    Model: 2, 0    Function: 2, 0
Sample: 0058-1    Model: 4, 1    Function: 4, 1
Sample: 0058-2    Model: 1, 1    Function: 1, 1
Sample: 0058-3    Model: 1, 0    Function: 1, 0
Sample: 0058-5    Model: 1, 0    Function: 1, 0
Sample: 0059-2    Model: 2, 1    Function: 2, 1
Sample: 0059-5    Model: 4, 1    Function: 4, 1
Sample: 0060-3    Model: 1, 0    Function: 1, 0
Sample: 0061-3    Model: 1, 0    Function: 1, 0
Sample: 0061-4    Model: 1, 0    Function: 1, 0
Sample: 0061-5    Model: 1, 0    Function: 1, 0
Sample: 0061-6    Model: 1, 0    Function: 1, 0
Sample: 0063-5    Model: 2, 0    Function: 2, 0
Sample: 0063-6    Model: 4, 1    Function: 4, 1
Sample: 0064-1    Model: 4, 0    Function: 4, 0
Sample: 0064-2    Model: 4, 0    Function: 4, 0
Sample: 0064-3    Model: 2, 0    Function: 2, 0
Sample: 0064-4    Model: 2, 0    Function: 2, 0
Sample: 0064-5    Model: 2, 0    Function: 2, 0
Sample: 0064-6    Model: 2, 0    Function: 2, 0
Sample: 0065-1    Model: 1, 0    Function: 1, 0
Sample: 0065-4    Model: 1, 0    Function: 4, 1 ------ DOES NOT MATCH
Sample: 0065-5    Model: 2, 1    Function: 4, 1 ------ DOES NOT MATCH
Sample: 0065-6    Model: 2, 0    Function: 2, 0
Sample: 0065-7    Model: 4, 1    Function: 4, 1
Sample: 0065-8    Model: 2, 0    Function: 2, 0
Sample: 0065-9    Model: 2, 0    Function: 2, 0
Sample: 0066-1    Model: 3, 0    Function: 3, 0
Sample: 0066-2    Model: 3, 0    Function: 3, 0
